INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-07-25','2006-11-03','989 994 8328','Port Sudan','SD','active',1);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-11-27','2007-10-04','215 139 7985','Piedrancha','CO','cancelled',104);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-04-01','2007-02-07','678 185 8211','Checca','PE','rescue',105);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-04-16','2026-05-04','325 348 0722','El Tambo','CO','active',106);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2007-01-19','2033-08-12','525 694 3067','Port Sudan','SD','completed',107);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-06-03','2017-03-15','219 171 0445','Doumen','CN','covert',108);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-05-17','2012-10-01','617 197 2160','Hengjing','CN','surveillance',109);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-11-04','2012-10-22','837 924 0045','Bolhrad','UA','undercover',110);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-07-09','2024-10-05','412 673 0551','Syktyvkar','RU','rescue',111);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-12-03','2010-10-14','191 979 5444','Obroshyne','UA','compromised',112);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-11-28','2032-02-26','651 742 6017','Krasnodon','UA','cancelled',113);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-11-29','2006-02-01','950 236 0784','Rumilly','FR','surveillance',114);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-10-09','2019-03-07','183 176 3947','Kusatsu','JP','delayed',115);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-10-31','2027-10-31','299 954 1892','Gandrungmangu','ID','ongoing',116);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-11-29','2011-08-27','959 524 1716','San Luis','PH','interception',117);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-05-20','2032-07-03','637 628 4653','Priupskiy','RU','undercover',118);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-01-01','2025-02-01','337 931 6678','Port Sudan','SD','infiltration',119);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-12-03','2023-03-24','602 231 9959','Pueblo Nuevo','CO','compromised',120);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-09-20','2024-03-04','434 462 5527','Miguel Hidalgo','MX','compromised',121);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-02-10','2030-09-21','141 292 8575','Pategi','NG','covert action',122);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2014-05-10','2022-02-03','995 558 2441','Baratan','ID','covert',123);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-01-12','2019-12-31','246 524 5551','Port Sudan','SD','cancelled',124);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-07-06','2024-09-15','293 876 7365','Port Sudan','SD','ongoing',125);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-02-27','2024-11-29','748 984 9730','Stockholm','SE','interception',126);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-07-15','2030-01-12','269 778 9927','Sydney','AU','infiltration',127);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-12-12','2015-07-07','982 747 2162','Spas-Klepiki','RU','infiltration',128);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-05-31','2010-06-13','841 908 4309','Klyuchevskiy','RU','delayed',129);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-08-16','2007-10-06','471 385 7425','Mangulewa','ID','infiltration',130);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-08-28','2028-07-28','227 135 2098','Dnestrovsc','MD','ongoing',131);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-12-22','2018-12-05','775 823 3274','Tanarara','ID','counterintelligence',132);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2014-01-04','2027-11-29','345 723 2663','Bagakay','PH','cancelled',133);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-01-04','2029-08-06','512 535 1306','Bethel Town','JM','completed',134);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-05-21','2015-07-29','268 618 0934','Port Sudan','SD','surveillance',135);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-04-03','2012-09-21','932 671 6199','Gaoling','CN','counterintelligence',136);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-05-31','2030-05-29','970 426 8819','Anh Son','VN','reconnaissance',137);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-09-14','2008-11-10','273 660 0711','Yelizavetinskaya','RU','undercover surveillance',138);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-03-31','2030-12-25','200 250 7477','Kerkrade','NL','cancelled',139);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-12-02','2016-10-15','303 241 2061','Denver','US','infiltration',140);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2010-09-14','2015-08-06','163 731 5529','Eastern Suburbs Mc','AU','active',141);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-07-31','2013-07-09','650 640 4011','Port Sudan','SD','cancelled',142);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-03-22','2023-04-08','357 520 5599','Kasembon','ID','rescue',143);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-06-22','2009-11-12','385 370 9167','Debrzno','PL','completed',144);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2015-06-06','2010-01-27','530 638 5243','Balun','ID','infiltration',145);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2008-09-13','2013-02-07','329 232 6550','Coolock','IE','extraction',146);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2013-10-31','2027-05-07','704 199 2255','Arnoia','PT','compromised',147);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-02-21','2024-08-05','943 913 6530','Port Sudan','SD','extraction',148);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-02-05','2010-05-24','696 148 7309','Port Sudan','SD','infiltration',149);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-05-04','2018-09-05','587 198 3016','Dubti','ET','infiltration',150);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-12-01','2032-11-24','166 337 1094','Ciro Redondo','CU','delayed',151);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-10-31','2012-09-15','428 441 1874','Port Sudan','SD','reconnaissance',152);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-08-07','2032-06-06','599 108 4120','Hongdu','CN','covert',153);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2013-06-09','2012-07-29','735 738 5421','Brejo Santo','BR','active',154);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2022-11-14','2006-09-26','764 606 6402','KoÃ­la','GR','compromised',155);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-05-08','2021-08-11','432 178 4271','Picungbera','ID','completed',156);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2007-12-31','2019-11-10','443 421 5543','Batiano','PH','counterintelligence',157);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2017-05-20','2010-11-16','397 995 8830','Adigeni','GE','extraction',158);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-08-14','2030-07-11','169 133 8783','Marseille','FR','infiltration',159);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-09-04','2026-05-25','939 115 1629','Dargaz','IR','undercover surveillance',160);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2011-07-13','2018-03-04','601 529 2825','Santa Catalina','UY','interception',161);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-08-09','2017-11-05','479 590 3121','Panacan','PH','ongoing',162);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-03-01','2027-02-18','684 857 0785','Port Sudan','SD','under review',163);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2016-05-02','2009-03-03','622 861 7404','Ngamba','ID','rescue',164);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2023-01-01','2009-11-24','720 205 3532','Kertahayu','ID','covert',165);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-12-14','2011-01-27','797 436 9740','Kosiv','UA','infiltration',166);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-12-04','2034-06-19','704 454 1919','Tengah','ID','surveillance',167);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2021-07-01','2034-11-14','530 695 4700','Port Sudan','SD','extraction',168);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2005-04-03','2030-10-16','963 134 6348','Mwinilunga','ZM','covert',169);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-04-15','2017-07-31','880 272 6572','Kuangsan','ID','interception',170);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2013-11-01','2021-06-14','369 743 5851','El Tambo','CO','surveillance',171);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-11-16','2007-10-15','937 636 9074','Port Sudan','SD','under review',172);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-09-14','2025-12-26','127 488 0961','Kristianstad','SE','counterintelligence',173);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2006-08-09','2009-02-07','766 849 9838','Lindavista','MX','extraction',174);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2012-03-26','2020-09-23','808 265 7860','Ciyun','CN','cancelled',175);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2022-03-25','2021-02-05','269 870 1547','Taytay','PH','active',176);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2019-04-16','2029-02-18','383 586 4593','Aqaba','JO','active',177);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2018-02-05','2023-05-09','862 161 9329','Registro','BR','surveillance',178);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2009-12-16','2034-11-11','589 665 3112','Kostyantynivka','UA','infiltration',179);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2020-09-19','2022-11-20','869 507 5185','Margamukti','ID','high priority',180);
INSERT INTO missions(start_date, end_date, general_description, city, country, mstatus, tid) VALUES('2014-02-17','2020-01-15','282 432 9975','Zopilotepe','HN','delayed',181);
